ACS, ACS.MC
AENA, AENA.MC
Abengoa, ABG.MC
Abertis, ABE.MC
Acciona, ANA.MC
Acciona Energía, ANE.MC
Acerinox, ACX.MC
Almirall, ALM.MC
Amadeus IT Group, AMS.MC
Arcelor Mittal, MTS.MC
BBVA, BBVA.MC
BME, BME.MC
Banco Popular, POP.MC
Banco Sabadell, SAB.MC
Banco Santander, SAN.MC
Banesto, BTO.MC
Bankia, BKIA.MC
Bankinter, BKT.MC
CIE Automotive, CIE.MC
CaixaBank, CABK.MC
Cellmex, CLNX.MC
Criteria CaixaCorp, CRI.MC
Dia, DIA.MC
ENCE, ENC.MC
Ebro Foods, EBRO.MC
Enagás, ENG.MC
Endesa, ELE.MC
FCC, FCC.MC
Ferrovial, FER.MC
Fluidra, FDR.MC
Gamesa, GAM.MC
Grifols, GRF.MC
IAG, IAG.MC
Iberdrola, IBE.MC
Inditex, ITX.MC
Indra, IDR.MC
Inmobiliaria Colonial, COL.MC
Jazztel, JAZ.MC
Laboratorios Rovi, ROVI.MC
Logista, LOG.MC
Mapfre, MAP.MC
Meliá HotelS, MEL.MC
Merlin Properties, MRL.MC
Naturgy, NTGY.MC
Obrascón Huarte Lain, OHL.MC
PharmaMar, PHM.MC
Puig, PUIG.MC
Red Eléctrica, REE.MC
Repsol, REP.MC
Sacyr, SCYR.MC
Siemens Gamesa, SGRE.MC
Solaria, SLR.MC
Telecinco, TL5.MC
Telefónica, TEF.MC
Técnicas Reunidas, TRE.MC
Unicaja, UNI.MC
Viscofan, VIS.MC
