Date,Close,Open,High,Low,Volume
2018-08-01,0.022,0.022,0.022,18.36,
2018-07-31,18.387,18.387,18.387,18.387,
2018-07-30,18.363,18.363,18.363,18.363,
2018-07-27,18.36,18.36,18.36,18.36,1.28M
2018-07-26,18.36,18.36,18.36,18.36,1.04M
2018-07-25,18.36,18.36,18.39,18.36,9.49M
2018-07-24,18.36,18.36,18.38,18.36,423.16K
2018-07-23,18.36,18.36,18.38,18.36,586.64K
2018-07-20,18.36,18.36,18.36,18.36,377.18K
2018-07-19,18.36,18.36,18.37,18.36,959.25K
2018-07-18,18.36,18.36,18.37,18.36,416.32K
2018-07-17,18.36,18.36,18.36,18.36,608.21K
2018-07-16,18.36,18.36,18.37,18.36,517.69K
2018-07-13,18.36,18.36,18.37,18.36,492.92K
2018-07-12,18.37,18.36,18.37,18.36,256.24K
2018-07-11,18.36,18.36,18.37,18.36,510.10K
2018-07-10,18.36,18.36,18.36,18.36,521.36K
2018-07-09,18.36,18.36,18.37,18.36,1.26M
2018-07-06,18.36,18.36,18.38,18.36,582.39K
2018-07-05,18.36,18.36,18.37,18.36,894.86K
2018-07-04,18.36,18.36,18.36,18.36,538.73K
2018-07-03,18.36,18.36,18.38,18.36,603.53K
2018-07-02,18.36,18.36,18.38,18.36,669.60K
2018-06-29,18.36,18.36,18.4,18.36,1.15M
2018-06-28,18.36,18.36,18.36,18.36,665.70K
2018-06-27,18.36,18.36,18.37,18.36,438.59K
2018-06-26,18.36,18.36,18.36,18.36,3.89M
2018-06-25,18.36,18.36,18.36,18.36,2.86M
2018-06-22,18.36,18.36,18.36,18.36,892.74K
2018-06-21,18.36,18.36,18.37,18.36,875.95K
2018-06-20,18.36,18.35,18.37,18.35,226.96K
2018-06-19,18.36,18.36,18.36,18.35,812.43K
2018-06-18,18.36,18.34,18.36,18.34,492.32K
2018-06-15,18.36,18.35,18.37,18.35,6.22M
2018-06-14,18.36,18.34,18.36,18.34,1.29M
2018-06-13,18.36,18.36,18.37,18.35,684.72K
2018-06-12,18.36,18.36,18.37,18.35,548.09K
2018-06-11,18.36,18.36,18.37,18.35,1.06M
2018-06-08,18.36,18.34,18.37,18.34,679.62K
2018-06-07,18.36,18.36,18.38,18.36,791.49K
2018-06-06,18.36,18.36,18.39,18.36,336.65K
2018-06-05,18.36,18.35,18.37,18.35,530.73K
2018-06-04,18.36,18.36,18.36,18.35,714.85K
2018-06-01,18.36,18.36,18.39,18.35,918.09K
2018-05-31,18.36,18.36,18.43,18.35,1.14M
2018-05-30,18.36,18.35,18.39,18.35,341.65K
2018-05-29,18.36,18.34,18.38,18.34,2.39M
