Date,Close,Open,High,Low,Volume
2020-07-14,0.0161,0.0107,0.0174,0.0092,173.17M
2020-07-13,0.0103,0.0094,0.0108,0.0091,22.33M
2020-07-10,0.009,0.0093,0.0097,0.009,3.20M
2020-07-09,0.0093,0.0097,0.01,0.0092,2.84M
2020-07-08,0.0097,0.0102,0.0102,0.0094,4.49M
2020-07-07,0.0096,0.01,0.01,0.0095,3.64M
2020-07-06,0.01,0.0096,0.0103,0.0093,7.88M
2020-07-03,0.0094,0.0094,0.0097,0.0092,8.81M
2020-07-02,0.0093,0.0088,0.0095,0.0086,9.86M
2020-07-01,0.0088,0.0088,0.0097,0.0088,11.63M
2020-06-30,0.0097,0.01,0.01,0.009,5.00M
2020-06-29,0.0095,0.0094,0.0096,0.0084,9.58M
2020-06-26,0.009,0.0102,0.0102,0.009,14.91M
2020-06-25,0.01,0.0106,0.0106,0.0096,9.48M
2020-06-24,0.0102,0.0091,0.0102,0.0091,38.52M
2020-06-23,0.009,0.0079,0.0096,0.0076,43.53M
2020-06-22,0.0085,0.0102,0.0106,0.0085,37.85M
2020-06-19,0.0102,0.0118,0.0121,0.0081,40.24M
2020-06-18,0.0118,0.012,0.0124,0.0118,10.22M
2020-06-17,0.0122,0.0128,0.0128,0.0122,6.87M
2020-06-16,0.0126,0.013,0.013,0.0125,4.98M
2020-06-15,0.0127,0.0125,0.013,0.0124,3.05M
2020-06-12,0.0125,0.0124,0.0129,0.0124,944.21K
2020-06-11,0.0124,0.0129,0.0129,0.0122,5.22M
2020-06-10,0.0127,0.0132,0.0133,0.0127,6.94M
2020-06-09,0.0129,0.0131,0.0134,0.0126,3.40M
2020-06-08,0.0129,0.0127,0.0134,0.0126,8.09M
2020-06-05,0.0126,0.0125,0.0132,0.0125,18.89M
2020-06-04,0.0124,0.0127,0.0127,0.0122,4.26M
2020-06-03,0.0125,0.0126,0.0126,0.0122,5.96M
2020-06-02,0.0122,0.0119,0.0125,0.0119,5.81M
2020-06-01,0.0123,0.0126,0.0126,0.012,6.92M
2020-05-29,0.0123,0.0124,0.0127,0.0123,2.88M
2020-05-28,0.0125,0.0127,0.0128,0.0123,4.31M
2020-05-27,0.0123,0.0122,0.0129,0.0115,15.95M
2020-05-26,0.0122,0.0117,0.0124,0.0115,7.85M
2020-05-25,0.0117,0.0118,0.0118,0.0113,10.97M
2020-05-22,0.0117,0.0121,0.0123,0.0115,17.65M
2020-05-21,0.0123,0.0122,0.0124,0.0119,11.76M
2020-05-20,0.0126,0.0128,0.0128,0.012,14.89M
2020-05-19,0.0134,0.0143,0.0143,0.0132,3.76M
2020-05-18,0.014,0.0139,0.0144,0.0139,4.86M
2020-05-15,0.0138,0.014,0.0148,0.0137,4.55M
2020-05-14,0.0138,0.0144,0.0144,0.0135,4.16M
2020-05-13,0.0143,0.0145,0.0148,0.0136,7.70M
2020-05-12,0.0145,0.0144,0.0149,0.0144,1.03M
2020-05-11,0.015,0.0156,0.0156,0.0146,3.92M
2020-05-08,0.015,0.0156,0.0156,0.0145,4.57M
2020-05-07,0.0151,0.0144,0.0155,0.0141,9.50M
2020-05-06,0.0144,0.0139,0.0146,0.0139,2.60M
2020-05-05,0.0143,0.0141,0.0147,0.0141,2.26M
2020-05-04,0.0142,0.0145,0.0148,0.014,4.38M
2020-04-30,0.0148,0.015,0.0154,0.0145,5.16M
2020-04-29,0.015,0.015,0.0155,0.015,4.65M
2020-04-28,0.0148,0.0155,0.016,0.0142,21.02M
2020-04-27,0.0154,0.0139,0.0155,0.0139,15.01M
2020-04-24,0.0135,0.014,0.014,0.0134,5.16M
2020-04-23,0.0136,0.013,0.0141,0.0129,7.22M
2020-04-22,0.0127,0.0128,0.0132,0.0126,3.48M
2020-04-21,0.0122,0.013,0.0134,0.0122,6.36M
2020-04-20,0.0131,0.013,0.0136,0.013,5.32M
2020-04-17,0.0134,0.0137,0.0137,0.0131,1.17M
2020-04-16,0.0132,0.0131,0.0136,0.0131,4.76M
2020-04-15,0.0131,0.0143,0.0143,0.0131,7.15M
2020-04-14,0.0142,0.0143,0.0145,0.0138,3.03M
2020-04-09,0.0136,0.014,0.0142,0.0136,2.18M
2020-04-08,0.0137,0.0137,0.0142,0.0135,4.28M
2020-04-07,0.0135,0.0141,0.0145,0.0135,11.69M
2020-04-06,0.0135,0.013,0.0138,0.0126,8.45M
2020-04-03,0.0125,0.0124,0.0125,0.0122,4.58M
2020-04-02,0.0124,0.0126,0.0126,0.0121,9.92M
2020-04-01,0.0121,0.0126,0.0126,0.0121,4.03M
2020-03-31,0.0126,0.0124,0.0129,0.0124,6.83M
2020-03-30,0.0124,0.0125,0.0128,0.0119,13.89M
2020-03-27,0.013,0.013,0.0135,0.0122,15.84M
2020-03-26,0.0138,0.0136,0.0143,0.0135,3.85M
2020-03-25,0.014,0.014,0.0155,0.0131,12.13M
2020-03-24,0.0138,0.0142,0.0142,0.0131,5.09M
2020-03-23,0.0133,0.0132,0.0139,0.0129,9.56M
