Date,Close,Open,High,Low,Volume
2026-02-05,27.19,27.06,27.28,26.89,1.48M
2026-02-04,26.99,26.61,27.16,26.56,1.50M
2026-02-03,26.57,26.5,26.57,26.24,1.33M
2026-02-02,26.41,26.33,26.45,26.13,2.12M
2026-01-30,26.23,25.83,26.54,25.74,2.82M
2026-01-29,25.52,25.45,25.73,25.41,1.49M
2026-01-28,25.42,25.79,25.81,25.16,1.25M
2026-01-27,25.88,25.6,25.88,25.4,1.40M
2026-01-26,25.47,25.46,25.58,25.32,595.35K
2026-01-23,25.39,25.57,25.61,25.22,886.88K
2026-01-22,25.6,25.6,25.72,25.47,1.01M
2026-01-21,25.2,25.22,25.42,25.16,1.01M
2026-01-20,25.31,25.3,25.42,25.18,877.41K
2026-01-19,25.41,25.3,25.53,25.25,1.06M
2026-01-16,25.52,25.19,25.52,25.1,1.90M
2026-01-15,25.13,24.99,25.22,24.79,1.40M
2026-01-14,24.62,24.6,24.74,24.4,1.24M
2026-01-13,24.56,25.3,25.3,24.54,1.19M
2026-01-12,25.21,25.3,25.31,25.09,765.71K
2026-01-09,25.28,25.3,25.35,25.02,825.70K
2026-01-08,25.3,24.92,25.34,24.89,771.52K
2026-01-07,24.87,25.07,25.44,24.86,1.24M
2026-01-06,24.99,24.48,25.03,24.45,1.86M
2026-01-05,24.35,23.69,24.42,23.69,1.30M
2026-01-02,23.69,23.7,23.89,23.66,533.67K
2025-12-31,23.82,23.78,23.83,23.67,732.52K
2025-12-30,23.83,23.86,23.88,23.75,700.61K
2025-12-29,23.84,23.92,23.96,23.63,843.80K
2025-12-24,23.86,23.98,24.02,23.86,185.96K
2025-12-23,23.88,23.8,23.94,23.72,946.52K
2025-12-22,23.84,23.67,23.89,23.53,1.13M
2025-12-19,23.58,23.64,23.9,23.49,3.88M
2025-12-18,23.63,23.53,23.75,23.43,1.03M
2025-12-17,23.47,23.46,23.57,23.33,1.06M
2025-12-16,23.47,23.9,23.93,23.47,1.13M
2025-12-15,23.82,23.7,23.87,23.47,1.02M
