Date,Close,Open,High,Low,Volume
2021-03-22,2.02,2.02,2.02,2.02,
2021-03-17,2.034,2.2,2.2,2.034,12.24K
2021-03-11,1.95,2.004,2.004,1.95,26.16K
2021-02-19,1.9,1.965,1.965,1.9,5.00K
2021-02-16,1.77,1.77,1.77,1.77,
2021-02-11,1.78,1.78,1.78,1.78,
2021-02-09,1.87,1.87,1.87,1.87,
2021-02-08,1.79,1.79,1.79,1.79,
2021-02-04,1.72,1.72,1.72,1.72,
2021-01-28,1.73,1.73,1.73,1.73,
2021-01-19,1.88,1.83,1.88,1.75,4.35K
2021-01-08,2.02,1.9275,2.02,1.89,1.10K
2021-01-04,1.76,1.8,1.8,1.76,2.76K
2020-12-30,1.8,1.8,1.8,1.8,
2020-12-29,1.82,1.82,1.82,1.82,
2020-12-28,1.88,1.88,1.88,1.88,
2020-12-22,1.7,1.7,1.7,1.7,
2020-12-21,1.66,1.66,1.66,1.66,
2020-12-15,1.84,1.84,1.84,1.84,
2020-12-08,1.836,1.855,1.855,1.78,6.28K
2020-11-19,1.73,1.73,1.73,1.73,
2020-11-18,1.79,1.79,1.79,1.79,
2020-11-09,1.42,1.42,1.42,1.42,
2020-11-06,1.31,1.31,1.31,1.31,
2020-11-05,1.21,1.3,1.3,1.21,5.50K
2020-10-28,1.28,1.28,1.28,1.28,
2020-10-16,1.2712,1.2712,1.2712,1.2712,
2020-09-30,1.402,1.4,1.4112,1.4,1.60K
2020-09-24,1.6,1.6,1.6,1.6,
2020-09-18,1.62,1.69,1.69,1.55,4.83K
2020-09-17,1.78,1.78,1.78,1.78,
2020-09-16,1.71,1.68,1.71,1.68,9.39K
2020-09-15,1.58,1.58,1.58,1.58,
2020-09-14,1.5788,1.68,1.68,1.5788,0.69K
2020-09-10,1.68,1.68,1.68,1.68,
2020-09-08,1.605,1.67,1.67,1.55,26.30K
2020-09-04,1.645,1.62,1.67,1.5,16.97K
2020-08-21,1.23,1.3,1.3,1.23,7.70K
2020-08-04,1.28,1.28,1.28,1.28,
2020-07-29,1.23,1.23,1.23,1.23,
2020-07-24,1.23,1.23,1.23,1.23,
2020-07-21,1.2972,1.2972,1.2972,1.2972,
2020-07-20,1.25,1.25,1.25,1.25,
2020-07-16,1.17,1.17,1.17,1.17,
2020-07-15,1.16,1.177,1.177,1.16,0.30K
2020-07-14,1.17,1.183,1.183,1.17,0.32K
2020-07-13,1.1825,1.179,1.1825,1.14,1.44K
2020-07-10,1.13,1.143,1.143,1.13,0.27K
2020-07-09,1.12,1.12,1.12,1.12,
2020-07-06,1.14,1.14,1.14,1.14,
2020-07-02,1.1,1.14,1.14,1.1,1.33K
2020-06-29,1.05,1.05,1.05,1.05,
2020-06-25,0.99,1.055,1.055,0.99,3.30K
2020-06-24,1.07,1.07,1.07,1.07,
2020-06-22,1.06,1.06,1.06,1.06,
2020-06-18,1.095,1.15,1.15,1.095,4.00K
2020-06-17,1.15,1.11,1.15,1.1062,189.20K
2020-06-12,1.11,1.11,1.11,1.11,
2020-06-11,1.11,1.11,1.11,1.11,
2020-06-10,1.11,1.11,1.11,1.11,
2020-06-08,1.1,1.15,1.15,1.1,1.00K
2020-06-04,1.04,1.02,1.04,1.02,14.90K
2020-05-29,0.89,0.89,0.89,0.89,
2020-05-28,0.8995,0.88,0.96,0.88,11.31K
2020-05-27,0.955,0.97,0.97,0.95,14.00K
2020-05-26,0.955,0.955,0.955,0.955,
2020-05-22,0.865,0.87,0.87,0.865,7.00K
2020-05-20,0.8219,0.8219,0.8219,0.8219,
2020-05-14,0.9,0.9145,0.977,0.9,17.67K
