Date,Close,Open,High,Low,Volume
2026-02-06,12.95,12.75,12.96,12.75,
2026-02-05,13.0,12.85,13.05,12.78,
2026-02-04,12.95,12.7,13.03,12.68,
2026-02-03,12.78,12.79,12.84,12.71,
2026-02-02,12.76,12.54,12.79,12.44,
2026-01-30,12.55,12.28,12.56,12.27,
2026-01-29,12.28,12.39,12.46,12.2,
2026-01-28,12.41,12.75,12.77,12.28,
2026-01-27,12.84,12.73,12.84,12.69,
2026-01-26,12.73,12.76,12.84,12.64,
2026-01-23,12.76,12.52,12.78,12.45,
2026-01-22,12.54,12.45,12.57,12.36,
2026-01-21,12.39,12.26,12.52,12.16,
2026-01-20,12.31,12.6,12.63,12.26,
2026-01-19,12.83,13.04,13.11,12.73,
2026-01-16,13.28,13.17,13.38,13.16,
2026-01-15,13.31,13.23,13.34,13.03,
2026-01-14,13.25,13.12,13.31,13.1,
2026-01-13,13.02,13.14,13.18,12.97,
2026-01-12,13.1,13.06,13.16,12.98,
2026-01-09,13.17,13.45,13.45,13.04,
2026-01-08,13.46,13.61,13.75,13.4,
2026-01-07,13.53,13.19,13.53,13.18,
2026-01-06,13.16,13.13,13.21,13.08,
2026-01-05,13.08,12.88,13.24,12.87,
2026-01-02,12.88,12.92,12.94,12.82,
2025-12-31,12.9,12.89,12.94,12.85,
2025-12-30,12.92,12.97,13.0,12.9,
2025-12-29,12.99,12.85,13.06,12.81,
2025-12-24,12.88,12.94,12.99,12.8,
2025-12-23,12.92,12.88,13.05,12.87,
2025-12-22,13.0,12.95,13.0,12.78,
2025-12-19,12.98,12.84,13.06,12.77,
2025-12-18,12.89,12.77,12.95,12.72,
2025-12-17,12.85,12.69,12.94,12.66,
2025-12-16,12.72,13.24,13.24,12.7,
2025-12-15,13.31,13.34,13.39,13.23,
2025-12-12,13.27,13.17,13.4,13.15,
2025-12-11,13.23,13.01,13.23,12.9,
2025-12-10,13.11,13.02,13.11,12.9,
2025-12-09,13.02,13.13,13.19,12.95,
2025-12-08,13.13,13.03,13.24,13.03,
2025-12-05,13.0,12.82,13.1,12.82,
2025-12-04,12.86,12.8,12.89,12.76,
2025-12-03,12.76,12.77,12.86,12.71,
2025-12-02,12.71,12.72,13.0,12.63,
2025-12-01,12.67,12.54,12.69,12.54,
2025-11-28,12.58,12.55,12.67,12.4,
2025-11-27,12.55,12.7,12.74,12.49,
2025-11-26,12.72,12.67,12.74,12.57,
2025-11-25,12.73,12.49,12.77,12.38,
2025-11-24,12.45,12.48,12.49,12.33,
2025-11-21,12.55,12.42,12.57,12.16,
2025-11-20,12.51,12.44,12.72,12.44,
2025-11-19,12.4,12.27,12.43,12.18,
2025-11-18,12.3,12.16,12.36,12.12,
