Date,Close,Open,High,Low,Volume
2013-05-03,3.507,3.5,3.538,3.441,301.31K
2013-05-02,3.5,3.391,3.553,3.39,194.88K
2013-04-30,3.5,3.44,3.54,3.44,139.90K
2013-04-29,3.52,3.35,3.52,3.35,79.18K
2013-04-26,3.43,3.41,3.44,3.38,244.30K
2013-04-25,3.44,3.48,3.5,3.39,260.69K
2013-04-24,3.56,3.38,3.56,3.38,150.28K
2013-04-23,3.53,3.25,3.53,3.25,396.86K
2013-04-22,3.36,3.25,3.36,3.25,169.70K
2013-04-19,3.31,3.18,3.34,3.18,147.66K
2013-04-18,3.25,3.25,3.29,3.22,186.96K
2013-04-17,3.23,3.25,3.29,3.21,348.45K
2013-04-16,3.28,3.24,3.34,3.24,117.13K
2013-04-15,3.29,3.4,3.4,3.27,95.77K
2013-04-12,3.34,3.3,3.42,3.27,227.96K
2013-04-11,3.42,3.4,3.42,3.33,244.50K
2013-04-10,3.37,3.27,3.41,3.27,159.39K
2013-04-09,3.25,3.24,3.26,3.19,133.23K
2013-04-08,3.19,3.2,3.27,3.19,104.79K
2013-04-05,3.22,3.22,3.3,3.18,253.62K
2013-04-04,3.23,3.22,3.3,3.19,184.81K
2013-04-03,3.22,3.31,3.31,3.22,89.79K
2013-04-02,3.33,3.17,3.33,3.17,161.33K
2013-03-28,3.24,3.24,3.254,3.16,75.04K
2013-03-27,3.21,3.29,3.3,3.17,200.91K
2013-03-26,3.32,3.34,3.37,3.23,262.93K
2013-03-25,3.34,3.48,3.56,3.3,225.02K
2013-03-22,3.49,3.48,3.51,3.42,234.42K
2013-03-21,3.48,3.54,3.54,3.41,198.48K
2013-03-20,3.51,3.44,3.55,3.44,72.14K
2013-03-19,3.42,3.58,3.59,3.4,169.77K
2013-03-18,3.6,3.55,3.6,3.51,84.08K
2013-03-15,3.61,3.63,3.66,3.61,181.03K
2013-03-14,3.65,3.57,3.67,3.54,156.30K
2013-03-13,3.56,3.6,3.61,3.56,50.57K
2013-03-12,3.63,3.6,3.65,3.6,143.78K
2013-03-11,3.62,3.61,3.66,3.61,57.47K
2013-03-08,3.67,3.6,3.67,3.6,145.58K
2013-03-07,3.6,3.58,3.67,3.58,217.86K
2013-03-06,3.6,3.56,3.62,3.56,122.96K
2013-03-05,3.58,3.58,3.6,3.55,161.75K
2013-03-04,3.54,3.53,3.56,3.49,116.77K
2013-03-01,3.52,3.52,3.59,3.49,318.48K
2013-02-28,3.57,3.58,3.58,3.54,135.00K
2013-02-27,3.52,3.56,3.56,3.46,268.02K
2013-02-26,3.5,3.5,3.54,3.48,158.06K
2013-02-25,3.61,3.54,3.71,3.54,313.00K
2013-02-22,3.57,3.53,3.59,3.52,117.27K
2013-02-21,3.53,3.57,3.57,3.51,139.54K
2013-02-20,3.59,3.64,3.66,3.59,191.13K
2013-02-19,3.64,3.57,3.65,3.57,228.71K
2013-02-18,3.58,3.56,3.6,3.56,52.57K
2013-02-15,3.61,3.64,3.69,3.61,406.58K
2013-02-14,3.68,3.72,3.72,3.61,130.27K
2013-02-13,3.71,3.66,3.71,3.66,239.62K
2013-02-12,3.69,3.67,3.69,3.59,209.77K
2013-02-11,3.61,3.61,3.67,3.6,64.84K
2013-02-08,3.62,3.57,3.63,3.57,551.85K
2013-02-07,3.55,3.59,3.63,3.55,199.57K
2013-02-06,3.56,3.58,3.62,3.55,169.39K
2013-02-05,3.56,3.5,3.6,3.5,89.12K
2013-02-04,3.5,3.64,3.68,3.5,298.29K
2013-02-01,3.65,3.79,3.79,3.64,524.94K
2013-01-31,3.79,3.87,3.87,3.75,228.67K
2013-01-30,3.89,3.9,3.92,3.88,88.98K
2013-01-29,3.91,3.91,3.92,3.88,76.01K
2013-01-28,3.92,3.92,3.94,3.91,44.84K
2013-01-25,3.93,3.89,3.93,3.89,114.04K
2013-01-24,3.88,3.88,3.89,3.85,204.97K
2013-01-23,3.88,3.9,3.95,3.87,104.28K
2013-01-22,3.9,3.94,3.95,3.88,151.73K
2013-01-21,3.93,3.88,3.95,3.88,671.09K
2013-01-18,3.92,3.88,3.94,3.87,130.85K
2013-01-17,3.89,3.86,3.92,3.86,101.16K
2013-01-16,3.87,3.9,3.9,3.86,130.25K
2013-01-15,3.9,3.78,3.94,3.78,106.50K
2013-01-14,3.94,3.9,3.99,3.89,149.43K
2013-01-11,3.88,3.87,3.89,3.84,214.64K
2013-01-10,3.85,3.82,3.86,3.81,246.83K
2013-01-09,3.82,3.76,3.86,3.76,353.98K
2013-01-08,3.8,3.8,3.83,3.71,303.50K
2013-01-07,3.8,3.71,3.87,3.7,494.87K
2013-01-04,3.71,3.61,3.71,3.61,362.16K
2013-01-03,3.64,3.64,3.66,3.6,356.34K
2013-01-02,3.65,3.6,3.65,3.57,306.65K
2012-12-31,3.56,3.55,3.57,3.53,549.51K
2012-12-28,3.55,3.55,3.58,3.55,247.78K
2012-12-27,3.57,3.56,3.6,3.55,246.33K
2012-12-24,3.56,3.57,3.6,3.56,126.74K
2012-12-21,3.58,3.58,3.65,3.5,463.15K
2012-12-20,3.61,3.6,3.62,3.57,310.17K
2012-12-19,3.6,3.6,3.65,3.58,368.93K
2012-12-18,3.59,3.6,3.61,3.58,885.79K
2012-12-17,3.56,3.63,3.65,3.55,2.60M
2012-12-14,2.97,2.97,2.98,2.94,93.64K
2012-12-13,3.0,2.96,3.01,2.93,571.53K
2012-12-12,2.936,2.82,3.03,2.82,473.14K
2012-12-11,2.85,2.81,2.85,2.8,33.79K
2012-12-10,2.801,2.78,2.83,2.77,32.21K
2012-12-07,2.82,2.84,2.85,2.81,54.09K
2012-12-06,2.843,2.81,2.85,2.78,89.30K
2012-12-05,2.821,2.82,2.83,2.8,82.86K
2012-12-04,2.8,2.81,2.83,2.78,141.66K
2012-12-03,2.8,2.82,2.87,2.79,101.70K
2012-11-30,2.809,2.77,2.84,2.77,136.84K
2012-11-29,2.79,2.75,2.85,2.74,125.81K
2012-11-28,2.739,2.7,2.78,2.7,23.15K
2012-11-27,2.72,2.72,2.79,2.7,95.07K
2012-11-26,2.718,2.74,2.74,2.71,35.19K
2012-11-23,2.74,2.75,2.78,2.73,47.14K
2012-11-22,2.731,2.72,2.79,2.71,39.87K
2012-11-21,2.763,2.78,2.78,2.72,38.03K
2012-11-20,2.81,2.76,2.81,2.72,49.55K
2012-11-19,2.76,2.65,2.8,2.65,45.57K
2012-11-16,2.711,2.72,2.74,2.69,68.33K
2012-11-15,2.718,2.69,2.75,2.64,86.97K
2012-11-14,2.664,2.68,2.68,2.63,45.17K
2012-11-13,2.701,2.71,2.75,2.64,38.79K
2012-11-12,2.73,2.69,2.73,2.59,98.97K
2012-11-09,2.66,2.78,2.81,2.65,86.69K
2012-11-08,2.8,2.81,2.83,2.79,27.00K
2012-11-07,2.8,2.81,2.83,2.8,70.97K
2012-11-06,2.805,2.83,2.83,2.805,92.22K
2012-11-05,2.801,2.8,2.82,2.78,89.31K
2012-11-02,2.807,2.81,2.83,2.78,192.12K
2012-11-01,2.837,2.77,2.837,2.76,47.02K
2012-10-31,2.811,2.83,2.84,2.8,60.14K
2012-10-30,2.82,2.83,2.85,2.81,47.18K
2012-10-29,2.815,2.85,2.85,2.8,33.36K
2012-10-26,2.858,2.84,2.94,2.84,30.73K
2012-10-25,2.93,2.86,2.93,2.81,80.73K
2012-10-24,2.86,2.89,2.91,2.84,42.49K
2012-10-23,2.92,2.95,2.98,2.87,67.87K
2012-10-22,2.921,2.93,3.01,2.92,71.82K
2012-10-19,2.993,3.08,3.08,2.99,82.87K
2012-10-18,3.1,3.11,3.11,3.03,61.55K
2012-10-17,3.1,3.0,3.12,2.97,206.12K
2012-10-16,2.95,2.86,2.99,2.84,112.26K
2012-10-15,2.863,2.85,2.92,2.82,51.40K
2012-10-12,2.8,2.8,2.84,2.8,67.39K
2012-10-11,2.771,2.75,2.86,2.73,108.39K
2012-10-10,2.8,2.83,2.85,2.8,46.78K
2012-10-09,2.833,2.9,2.91,2.83,90.75K
2012-10-08,2.9,2.85,2.91,2.84,63.21K
2012-10-05,2.853,2.82,2.86,2.81,67.53K
2012-10-04,2.765,2.75,2.84,2.75,91.67K
2012-10-03,2.796,2.68,2.84,2.68,66.56K
2012-10-02,2.729,2.68,2.74,2.68,77.97K
2012-10-01,2.7,2.69,2.74,2.59,155.65K
2012-09-28,2.78,2.91,2.91,2.69,342.35K
2012-09-27,2.85,2.97,3.0,2.82,266.54K
2012-09-26,2.933,3.04,3.08,2.93,166.35K
2012-09-25,3.116,3.25,3.25,3.116,211.47K
2012-09-24,3.225,3.31,3.31,3.225,57.16K
2012-09-21,3.29,3.32,3.34,3.29,191.10K
2012-09-20,3.299,3.27,3.3,3.25,146.68K
2012-09-19,3.299,3.37,3.37,3.26,139.05K
2012-09-18,3.344,3.48,3.48,3.34,192.14K
2012-09-17,3.41,3.44,3.76,3.32,464.78K
2012-09-14,3.396,3.04,3.54,3.04,405.74K
2012-09-13,2.97,2.92,2.97,2.9,141.81K
2012-09-12,2.9,2.9,2.95,2.9,131.04K
2012-09-11,2.911,2.82,2.911,2.81,141.46K
2012-09-10,2.83,2.81,2.88,2.75,114.05K
2012-09-07,2.82,2.9,2.94,2.76,170.83K
2012-09-06,2.85,2.94,2.99,2.81,396.74K
2012-09-05,2.82,2.59,2.97,2.58,283.20K
2012-09-04,2.545,2.42,2.55,2.41,307.63K
2012-09-03,2.4,2.41,2.42,2.36,52.69K
2012-08-31,2.419,2.36,2.43,2.34,58.25K
2012-08-30,2.33,2.34,2.41,2.33,119.93K
2012-08-29,2.32,2.31,2.36,2.29,42.82K
2012-08-28,2.32,2.33,2.41,2.32,195.44K
2012-08-27,2.375,2.43,2.43,2.375,49.52K
2012-08-24,2.385,2.33,2.45,2.33,93.85K
2012-08-23,2.341,2.32,2.35,2.32,104.48K
2012-08-22,2.32,2.34,2.36,2.32,16.89K
2012-08-21,2.351,2.33,2.37,2.32,27.45K
2012-08-20,2.348,2.32,2.38,2.29,103.14K
2012-08-17,2.35,2.33,2.43,2.33,79.82K
2012-08-16,2.355,2.18,2.36,2.18,141.59K
2012-08-15,2.165,2.18,2.18,2.165,10.22K
2012-08-14,2.169,2.19,2.21,2.14,21.84K
2012-08-13,2.17,2.14,2.19,2.14,51.56K
2012-08-10,2.127,2.17,2.18,2.09,88.48K
2012-08-09,2.13,2.23,2.23,2.09,60.21K
2012-08-08,2.2,2.2,2.22,2.18,78.05K
2012-08-07,2.19,2.21,2.24,2.19,95.42K
2012-08-06,2.202,2.19,2.24,2.18,149.64K
2012-08-03,2.17,2.07,2.17,2.06,132.10K
2012-08-02,2.08,2.08,2.11,2.07,31.81K
2012-08-01,2.1,2.08,2.12,2.08,49.20K
2012-07-31,2.14,2.15,2.17,2.12,34.42K
2012-07-30,2.138,2.14,2.18,2.138,80.39K
2012-07-27,2.12,2.11,2.17,2.04,106.24K
2012-07-26,2.079,2.0,2.17,1.98,86.58K
2012-07-25,2.05,2.11,2.16,2.03,105.98K
2012-07-24,2.114,2.14,2.33,2.11,87.25K
2012-07-23,2.1,2.01,2.13,1.92,167.50K
2012-07-20,2.117,2.19,2.19,2.06,91.66K
2012-07-19,2.172,2.21,2.22,2.172,76.23K
2012-07-18,2.177,2.24,2.25,2.177,101.13K
2012-07-17,2.225,2.23,2.27,2.21,165.63K
2012-07-16,2.258,2.31,2.31,2.22,44.98K
2012-07-13,2.305,2.41,2.41,2.26,134.64K
2012-07-12,2.375,2.43,2.45,2.375,50.38K
2012-07-11,2.438,2.42,2.45,2.41,59.59K
2012-07-10,2.414,2.48,2.52,2.4,90.79K
2012-07-09,2.42,2.48,2.48,2.42,27.55K
2012-07-06,2.472,2.52,2.53,2.46,97.74K
2012-07-05,2.537,2.61,2.63,2.52,160.51K
2012-07-04,2.597,2.6,2.61,2.57,43.21K
2012-07-03,2.617,2.58,2.62,2.57,174.89K
2012-07-02,2.57,2.62,2.63,2.52,331.30K
2012-06-29,2.573,2.48,2.573,2.48,605.78K
2012-06-28,2.43,2.46,2.5,2.33,194.41K
2012-06-27,2.49,2.51,2.51,2.43,136.66K
2012-06-26,2.518,2.58,2.59,2.48,64.32K
2012-06-25,2.545,2.58,2.59,2.54,126.85K
2012-06-22,2.64,2.49,2.64,2.47,624.63K
2012-06-21,2.517,2.49,2.52,2.48,372.76K
2012-06-20,2.503,2.48,2.52,2.47,132.57K
2012-06-19,2.525,2.54,2.55,2.43,106.65K
2012-06-18,2.506,2.64,2.65,2.506,80.46K
2012-06-15,2.554,2.56,2.61,2.51,261.05K
2012-06-14,2.57,2.59,2.6,2.56,119.28K
2012-06-13,2.569,2.64,2.64,2.56,72.82K
2012-06-12,2.61,2.63,2.75,2.59,98.71K
2012-06-11,2.7,2.88,2.92,2.69,139.44K
2012-06-08,2.65,2.65,2.66,2.62,70.67K
2012-06-07,2.655,2.68,2.69,2.63,50.29K
2012-06-06,2.68,2.57,2.74,2.56,105.07K
2012-06-05,2.674,2.63,2.72,2.63,55.35K
2012-06-04,2.64,2.61,2.68,2.61,72.96K
2012-06-01,2.591,2.53,2.63,2.53,75.46K
2012-05-31,2.51,2.64,2.64,2.49,113.09K
2012-05-30,2.574,2.58,2.59,2.51,95.43K
2012-05-29,2.56,2.69,2.69,2.56,126.04K
2012-05-28,2.689,2.76,2.79,2.66,84.43K
2012-05-25,2.771,2.72,2.95,2.67,209.77K
