Date,Close,Open,High,Low,Volume
2023-11-22,63.52,63.389,63.679,63.289,
2023-11-21,63.169,63.05,63.73,63.039,
2023-11-20,63.069,62.52,63.09,62.469,
2023-11-17,62.51,61.989,62.779,61.989,
2023-11-16,61.65,61.66,62.02,61.44,
2023-11-15,61.76,61.65,62.309,61.55,
2023-11-14,61.62,60.8,61.919,60.59,
2023-11-13,60.69,60.749,60.749,59.9,
2023-11-10,60.37,60.169,60.429,59.8,
2023-11-09,60.4,58.94,60.8,58.789,
2023-11-08,59.13,59.219,60.02,58.309,
2023-11-07,59.58,58.599,60.029,58.34,
2023-11-06,56.59,56.559,57.059,56.44,
2023-11-03,56.26,55.609,56.289,55.33,
2023-11-02,55.52,54.3,56.05,54.3,
2023-11-01,53.95,53.819,54.02,53.27,
2023-10-31,53.8,53.09,54.139,53.05,
2023-10-30,53.09,53.44,53.709,52.969,
2023-10-27,53.08,52.64,53.24,52.56,
2023-10-26,53.01,53.38,53.82,52.84,
2023-10-25,54.13,54.17,54.6,53.72,
2023-10-24,54.48,53.81,54.82,53.67,
2023-10-23,53.71,54.08,54.34,53.26,
2023-10-20,53.95,53.93,54.3,53.71,
2023-10-19,54.91,55.16,55.32,54.59,
2023-10-18,55.35,55.89,56.08,55.15,
2023-10-17,56.31,56.34,56.43,55.65,
2023-10-16,56.46,55.89,56.82,55.51,
2023-10-13,55.4,56.71,56.73,55.29,
2023-10-12,56.95,57.94,57.96,56.88,
2023-10-11,57.63,57.42,58.16,57.36,
2023-10-10,57.86,56.91,57.92,56.91,
2023-10-09,56.26,56.59,56.93,55.9,
2023-10-06,57.33,57.03,57.41,56.7,
2023-10-05,57.2,57.15,57.72,57.02,
2023-10-04,56.93,56.61,57.51,56.34,
2023-10-03,57.07,56.86,57.53,56.74,
2023-10-02,57.02,57.85,58.07,56.71,
2023-09-29,57.55,57.78,58.02,57.4,
2023-09-28,57.53,57.16,57.57,56.85,
2023-09-27,57.53,59.36,59.36,57.52,
2023-09-26,59.73,59.11,60.08,59.02,
2023-09-25,59.74,61.13,61.27,59.34,
2023-09-22,61.36,61.15,61.71,61.02,
2023-09-21,61.6,62.33,62.47,61.51,
2023-09-20,62.96,61.94,62.96,61.84,
2023-09-19,61.78,61.71,62.45,61.53,
2023-09-18,61.82,62.56,62.58,61.63,
2023-06-06,18.055,1.069,18.055,0.0,
2023-02-20,18.06,18.06,18.06,18.06,
2023-02-13,18.05,18.05,18.065,18.05,
2023-02-10,18.05,18.05,18.065,18.05,
2023-02-09,18.05,18.05,18.05,18.05,
2023-02-08,18.05,18.05,18.065,18.05,
2023-02-07,18.05,18.05,18.065,18.05,1.50M
2023-02-06,18.08,18.05,18.08,18.05,579.70K
2023-02-03,18.05,18.05,18.055,18.05,490.24K
2023-02-02,18.05,18.05,18.055,18.05,1.30M
2023-02-01,18.05,18.05,18.055,18.05,851.63K
2023-01-31,18.05,18.05,18.05,18.05,1.01M
2023-01-30,18.05,18.05,18.055,18.05,725.21K
2023-01-27,18.05,18.05,18.06,18.05,253.41K
2023-01-26,18.05,18.05,18.055,18.05,1.98M
2023-01-25,18.05,18.05,18.06,18.05,5.17M
2023-01-24,18.05,18.05,18.06,18.05,5.15M
2023-01-23,18.05,18.05,18.06,18.05,151.58K
2023-01-20,18.05,18.05,18.06,18.05,408.46K
2023-01-19,18.05,18.05,18.08,18.05,432.37K
2023-01-18,18.055,18.05,18.06,18.05,182.95K
2023-01-17,18.05,18.05,18.06,18.05,258.98K
2023-01-16,18.05,18.05,18.06,18.05,427.10K
2023-01-13,18.05,18.05,18.055,18.05,699.00K
2023-01-12,18.05,18.05,18.06,18.05,285.88K
2023-01-11,18.05,18.055,18.06,18.05,126.39K
2023-01-10,18.05,18.05,18.07,18.05,223.63K
2023-01-09,18.05,18.05,18.06,18.05,688.49K
2023-01-06,18.06,18.05,18.06,18.05,297.27K
2023-01-05,18.05,18.05,18.055,18.05,289.84K
2023-01-04,18.05,18.05,18.065,18.05,989.92K
2023-01-03,18.06,18.05,18.06,18.05,176.14K
2023-01-02,18.05,18.05,18.06,18.05,109.67K
2022-12-30,18.05,18.055,18.06,18.05,785.83K
2022-12-29,18.05,18.055,18.07,18.05,383.89K
2022-12-28,18.06,18.05,18.09,18.05,507.80K
2022-12-27,18.05,18.05,18.065,18.05,820.29K
2022-12-23,18.05,18.05,18.055,18.05,13.29M
