Date,Close,Open,High,Low,Volume
2015-08-04,12.98,12.98,12.995,12.98,77.14K
2015-08-03,12.98,12.975,13.0,12.975,43.07K
2015-07-31,12.98,12.98,13.0,12.98,52.53K
2015-07-30,12.98,12.99,12.995,12.98,46.42K
2015-07-29,12.99,12.98,12.99,12.98,17.93K
2015-07-28,12.985,12.98,13.0,12.98,85.37K
2015-07-27,12.98,12.98,13.0,12.98,28.52K
2015-07-24,13.0,12.985,13.0,12.98,103.51K
2015-07-23,12.995,12.99,12.995,12.985,107.45K
2015-07-22,12.985,12.98,12.99,12.98,30.13K
2015-07-21,12.985,12.98,12.99,12.98,57.40K
2015-07-20,12.98,12.975,12.99,12.975,50.64K
2015-07-17,12.99,12.98,12.99,12.98,48.89K
2015-07-16,12.99,12.99,12.99,12.98,39.55K
2015-07-15,12.98,12.985,13.0,12.98,56.60K
2015-07-14,13.0,12.98,13.0,12.98,31.48K
2015-07-13,13.0,13.0,13.01,12.98,390.99K
2015-07-10,12.99,12.995,12.995,12.975,166.66K
2015-07-09,12.99,12.975,12.99,12.975,71.70K
2015-07-08,12.98,12.98,12.985,12.97,200.89K
2015-07-07,12.98,12.98,12.985,12.97,583.64K
2015-07-06,12.975,12.97,12.98,12.97,209.69K
2015-07-03,12.975,12.98,12.985,12.975,432.22K
2015-07-02,12.98,12.965,12.99,12.965,298.52K
2015-07-01,12.96,12.98,12.98,12.96,922.13K
2015-06-30,12.95,12.96,12.98,12.95,1.24M
2015-06-29,12.97,12.96,13.02,12.96,560.62K
2015-06-26,13.02,13.02,13.13,12.92,753.26K
2015-06-25,13.115,12.85,13.25,12.805,997.62K
2015-06-24,12.92,12.94,12.95,12.92,3.66M
2015-06-23,12.945,12.94,12.95,12.92,1.55M
2015-06-22,12.92,12.975,12.99,12.92,2.11M
2015-06-19,12.975,12.975,13.0,12.975,949.05K
2015-06-18,12.975,12.975,12.99,12.965,1.61M
2015-06-17,12.975,12.975,12.985,12.975,1.08M
2015-06-16,12.985,12.97,12.985,12.97,1.27M
2015-06-15,12.97,12.97,12.98,12.965,1.02M
2015-06-12,12.975,12.975,12.98,12.97,1.18M
2015-06-11,12.975,12.97,12.98,12.97,1.25M
2015-06-10,12.975,12.975,12.98,12.97,1.33M
2015-06-09,12.975,12.965,12.975,12.965,1.01M
2015-06-08,12.965,12.965,12.975,12.965,1.27M
2015-06-05,12.965,12.97,12.97,12.965,2.90M
2015-06-04,12.965,12.97,12.975,12.965,927.78K
2015-06-03,12.965,12.97,12.975,12.965,3.34M
2015-06-02,12.965,12.965,12.975,12.96,1.52M
2015-06-01,12.965,12.965,12.975,12.96,1.09M
2015-05-29,12.965,12.975,12.985,12.965,1.04M
2015-05-28,12.98,12.96,12.98,12.96,1.10M
2015-05-27,12.975,12.955,12.975,12.95,1.89M
2015-05-26,12.94,12.945,12.97,12.94,1.83M
2015-05-25,12.94,12.94,12.95,12.94,284.47K
2015-05-22,12.945,12.94,12.95,12.94,728.09K
2015-05-21,12.945,12.94,12.95,12.94,1.93M
2015-05-20,12.945,12.945,12.95,12.935,1.58M
2015-05-19,12.945,12.915,12.955,12.91,5.86M
2015-05-18,12.91,12.89,12.94,12.89,311.02K
2015-05-15,12.95,12.88,12.95,12.88,1.06M
2015-05-14,12.885,12.9,12.9,12.88,342.93K
2015-05-13,12.9,12.895,12.905,12.885,416.58K
2015-05-12,12.89,12.88,12.915,12.88,658.71K
2015-05-11,12.885,12.89,12.91,12.88,601.08K
2015-05-08,12.89,12.9,12.91,12.885,470.86K
2015-05-07,12.885,12.885,12.9,12.875,1.24M
2015-05-06,12.885,12.86,12.9,12.86,1.19M
2015-05-05,12.855,12.85,12.89,12.85,1.20M
2015-05-04,12.85,12.84,12.9,12.83,731.95K
2015-04-30,12.88,12.8,12.92,12.8,2.26M
2015-04-29,12.8,12.72,12.82,12.72,2.08M
2015-04-28,12.775,12.72,12.8,12.72,1.96M
2015-04-27,12.745,12.785,12.8,12.72,1.40M
2015-04-24,12.795,12.8,12.83,12.775,1.34M
2015-04-23,12.8,12.8,12.815,12.8,518.40K
2015-04-22,12.8,12.775,12.815,12.765,707.03K
2015-04-21,12.785,12.75,12.81,12.74,666.69K
2015-04-20,12.74,12.72,12.76,12.715,864.17K
2015-04-17,12.73,12.7,12.745,12.7,1.14M
2015-04-16,12.725,12.7,12.735,12.695,444.99K
2015-04-15,12.72,12.72,12.73,12.7,638.85K
2015-04-14,12.72,12.69,12.72,12.685,1.20M
2015-04-13,12.675,12.67,12.725,12.67,1.36M
2015-04-10,12.705,12.7,12.72,12.68,760.25K
2015-04-09,12.695,12.66,12.7,12.66,957.96K
2015-04-08,12.66,12.67,12.715,12.66,1.48M
2015-04-07,12.66,12.7,12.72,12.66,1.42M
2015-04-02,12.69,12.7,12.71,12.68,1.06M
2015-04-01,12.675,12.675,12.71,12.65,664.48K
2015-03-31,12.685,12.66,12.735,12.65,660.30K
2015-03-30,12.68,12.625,12.68,12.61,1.90M
2015-03-27,12.625,12.62,12.655,12.62,852.33K
2015-03-26,12.63,12.605,12.63,12.6,837.50K
2015-03-25,12.625,12.6,12.645,12.585,971.75K
2015-03-24,12.6,12.6,12.66,12.6,1.78M
2015-03-23,12.65,12.57,12.65,12.57,720.68K
2015-03-20,12.56,12.59,12.63,12.55,1.45M
2015-03-19,12.59,12.555,12.63,12.5,2.97M
2015-03-18,12.57,12.53,12.6,12.53,1.08M
2015-03-17,12.53,12.45,12.545,12.45,1.87M
2015-03-16,12.465,12.42,12.495,12.415,1.30M
2015-03-13,12.43,12.445,12.5,12.43,960.15K
2015-03-12,12.455,12.46,12.495,12.45,1.74M
2015-03-11,12.48,12.44,12.49,12.41,1.19M
2015-03-10,12.42,12.3,12.45,12.29,3.71M
2015-03-09,12.35,12.32,12.35,12.3,1.36M
2015-03-06,12.38,12.39,12.43,12.375,2.54M
2015-03-05,12.405,12.435,12.495,12.405,803.23K
2015-03-04,12.445,12.475,12.475,12.405,2.35M
2015-03-03,12.435,12.51,12.52,12.43,1.83M
2015-03-02,12.52,12.5,12.525,12.48,931.57K
2015-02-27,12.5,12.5,12.51,12.415,997.78K
2015-02-26,12.485,12.445,12.52,12.4,1.21M
2015-02-25,12.47,12.425,12.47,12.415,1.45M
2015-02-24,12.42,12.43,12.47,12.4,1.01M
2015-02-23,12.43,12.44,12.47,12.37,1.45M
2015-02-20,12.41,12.42,12.45,12.38,2.04M
2015-02-19,12.44,12.435,12.47,12.42,1.85M
2015-02-18,12.44,12.455,12.47,12.435,1.02M
2015-02-17,12.44,12.515,12.53,12.435,1.21M
2015-02-16,12.515,12.5,12.53,12.5,554.23K
2015-02-13,12.5,12.46,12.5,12.46,1.76M
2015-02-12,12.465,12.46,12.48,12.46,1.44M
2015-02-11,12.47,12.45,12.48,12.45,2.80M
2015-02-10,12.47,12.47,12.49,12.45,2.66M
2015-02-09,12.475,12.5,12.515,12.46,1.88M
2015-02-06,12.515,12.52,12.55,12.495,893.72K
2015-02-05,12.55,12.53,12.55,12.52,751.45K
2015-02-04,12.55,12.575,12.575,12.52,563.83K
2015-02-03,12.55,12.555,12.57,12.535,1.20M
2015-02-02,12.55,12.55,12.565,12.5,1.74M
2015-01-30,12.55,12.57,12.585,12.55,1.24M
2015-01-29,12.57,12.535,12.575,12.535,643.04K
2015-01-28,12.565,12.575,12.59,12.535,1.16M
2015-01-27,12.57,12.54,12.595,12.54,636.31K
2015-01-26,12.57,12.53,12.575,12.52,1.29M
2015-01-23,12.545,12.6,12.6,12.49,2.51M
2015-01-22,12.595,12.57,12.64,12.57,1.44M
2015-01-21,12.61,12.61,12.63,12.585,939.59K
2015-01-20,12.605,12.56,12.62,12.56,963.34K
2015-01-19,12.6,12.6,12.615,12.57,911.18K
2015-01-16,12.6,12.595,12.635,12.58,1.10M
2015-01-15,12.605,12.62,12.645,12.555,1.93M
2015-01-14,12.6,12.6,12.655,12.55,860.74K
2015-01-13,12.61,12.6,12.66,12.59,1.38M
2015-01-12,12.59,12.585,12.6,12.58,908.35K
2015-01-09,12.59,12.585,12.6,12.565,1.58M
2015-01-08,12.585,12.59,12.6,12.58,1.49M
2015-01-07,12.59,12.595,12.595,12.575,1.74M
2015-01-06,12.58,12.59,12.6,12.575,1.71M
2015-01-05,12.585,12.58,12.6,12.57,1.05M
2015-01-02,12.585,12.575,12.595,12.555,672.50K
2014-12-31,12.55,12.59,12.59,12.55,1.03M
2014-12-30,12.56,12.57,12.585,12.55,1.65M
2014-12-29,12.595,12.56,12.63,12.56,833.56K
2014-12-24,12.595,12.59,12.6,12.575,298.14K
2014-12-23,12.575,12.56,12.59,12.54,3.10M
2014-12-22,12.57,12.56,12.57,12.555,1.47M
2014-12-19,12.565,12.565,12.57,12.545,1.05M
2014-12-18,12.57,12.55,12.59,12.54,1.61M
2014-12-17,12.54,12.52,12.545,12.5,2.37M
2014-12-16,12.54,12.505,12.54,12.505,1.96M
2014-12-15,12.515,12.53,12.55,12.505,2.29M
2014-12-12,12.55,12.55,12.56,12.54,1.06M
2014-12-11,12.55,12.575,12.58,12.54,1.55M
2014-12-10,12.555,12.595,12.6,12.55,969.58K
2014-12-09,12.55,12.56,12.59,12.55,2.51M
2014-12-08,12.56,12.55,12.61,12.53,1.42M
2014-12-05,12.55,12.53,12.565,12.5,2.39M
2014-12-04,12.53,12.64,12.67,12.495,3.43M
2014-12-03,12.62,12.67,12.67,12.48,9.61M
2014-12-02,12.67,12.8,12.81,12.635,5.87M
2014-12-01,12.8,12.785,12.81,12.785,1.67M
2014-11-28,12.8,12.785,12.8,12.78,807.65K
2014-11-27,12.78,12.775,12.815,12.775,2.04M
2014-11-26,12.8,12.78,12.805,12.75,1.99M
2014-11-25,12.78,12.785,12.8,12.75,3.12M
2014-11-24,12.79,12.78,12.815,12.78,662.20K
2014-11-21,12.795,12.775,12.82,12.77,952.58K
2014-11-20,12.79,12.785,12.8,12.78,1.25M
2014-11-19,12.795,12.8,12.82,12.78,2.18M
2014-11-18,12.8,12.805,12.825,12.8,2.69M
2014-11-17,12.82,12.78,12.835,12.775,3.01M
2014-11-14,12.78,12.795,12.81,12.775,1.53M
2014-11-13,12.8,12.795,12.815,12.795,3.50M
2014-11-12,12.795,12.785,12.81,12.775,1.03M
2014-11-11,12.785,12.785,12.8,12.78,1.60M
2014-11-10,12.8,12.755,12.8,12.75,1.20M
2014-11-07,12.775,12.745,12.78,12.73,925.95K
2014-11-06,12.75,12.765,12.785,12.72,3.08M
2014-11-05,12.76,12.77,12.8,12.76,2.11M
2014-11-04,12.76,12.765,12.78,12.755,1.36M
2014-11-03,12.78,12.74,12.78,12.74,1.72M
2014-10-31,12.74,12.78,12.785,12.74,1.93M
2014-10-30,12.75,12.785,12.785,12.74,1.98M
2014-10-29,12.775,12.745,12.8,12.745,1.45M
2014-10-28,12.74,12.74,12.77,12.73,2.91M
2014-10-27,12.74,12.77,12.78,12.725,2.31M
2014-10-24,12.765,12.745,12.775,12.71,2.55M
2014-10-23,12.75,12.69,12.75,12.69,2.34M
2014-10-22,12.7,12.685,12.735,12.68,2.32M
2014-10-21,12.68,12.65,12.745,12.65,1.98M
2014-10-20,12.68,12.67,12.715,12.645,1.91M
2014-10-17,12.68,12.65,12.7,12.615,2.70M
2014-10-16,12.56,12.625,12.69,12.46,8.31M
2014-10-15,12.6,12.72,12.735,12.5,6.14M
2014-10-14,12.715,12.735,12.755,12.715,3.32M
2014-10-13,12.74,12.73,12.76,12.73,2.77M
2014-10-10,12.75,12.745,12.765,12.74,3.55M
2014-10-09,12.76,12.8,12.8,12.75,3.30M
2014-10-08,12.765,12.77,12.795,12.755,2.45M
2014-10-07,12.77,12.79,12.81,12.77,3.92M
2014-10-06,12.79,12.845,12.855,12.79,1.96M
2014-10-03,12.82,12.82,12.82,12.785,2.95M
2014-10-02,12.785,12.79,12.835,12.77,2.68M
2014-10-01,12.8,12.83,12.86,12.8,2.87M
2014-09-30,12.82,12.815,12.85,12.8,2.92M
2014-09-29,12.8,12.79,12.82,12.78,1.65M
2014-09-26,12.77,12.775,12.82,12.77,2.52M
2014-09-25,12.77,12.795,12.805,12.755,3.66M
2014-09-24,12.81,12.755,12.81,12.745,5.17M
