Date,Close,Open,High,Low,Volume
2017-06-07,0.022,0.022,0.022,0.302,
2017-06-06,0.317,0.331,0.36,0.302,246.02M
2017-06-05,0.338,0.421,0.436,0.336,196.07M
2017-06-02,0.413,0.525,0.537,0.365,228.74M
2017-06-01,0.5,0.58,0.584,0.491,238.96M
2017-05-31,0.609,0.651,0.656,0.609,384.99M
2017-05-30,0.65,0.66,0.662,0.65,37.03M
2017-05-29,0.66,0.67,0.675,0.66,19.54M
2017-05-26,0.668,0.685,0.685,0.664,24.37M
2017-05-25,0.676,0.668,0.679,0.655,43.88M
2017-05-24,0.667,0.7,0.701,0.666,46.49M
2017-05-23,0.692,0.693,0.704,0.69,26.07M
2017-05-22,0.696,0.7,0.712,0.686,35.33M
2017-05-19,0.719,0.657,0.724,0.655,85.46M
2017-05-18,0.654,0.678,0.685,0.65,49.66M
2017-05-17,0.668,0.724,0.725,0.668,69.14M
2017-05-16,0.697,0.701,0.748,0.673,76.93M
2017-05-15,0.705,0.748,0.763,0.698,53.27M
2017-05-12,0.752,0.747,0.796,0.741,66.05M
2017-05-11,0.788,0.869,0.871,0.755,126.03M
2017-05-10,0.844,0.78,0.854,0.774,135.00M
2017-05-09,0.774,0.768,0.786,0.756,52.96M
2017-05-08,0.758,0.76,0.78,0.726,78.11M
2017-05-05,0.75,0.658,0.751,0.655,93.48M
2017-05-04,0.689,0.666,0.689,0.652,42.69M
2017-05-03,0.664,0.658,0.674,0.658,17.82M
2017-05-02,0.667,0.65,0.676,0.647,26.25M
2017-04-28,0.644,0.641,0.652,0.618,35.46M
2017-04-27,0.643,0.675,0.675,0.64,50.90M
2017-04-26,0.685,0.704,0.704,0.676,23.77M
2017-04-25,0.7,0.687,0.704,0.666,32.27M
2017-04-24,0.687,0.705,0.71,0.681,36.23M
2017-04-21,0.676,0.689,0.703,0.668,38.85M
2017-04-20,0.684,0.69,0.71,0.67,45.07M
2017-04-19,0.685,0.67,0.719,0.663,99.06M
2017-04-18,0.649,0.619,0.658,0.616,61.81M
2017-04-13,0.611,0.631,0.64,0.595,62.34M
2017-04-12,0.634,0.66,0.705,0.62,107.64M
2017-04-11,0.663,0.727,0.728,0.661,104.53M
2017-04-10,0.734,0.805,0.812,0.723,75.94M
2017-04-07,0.812,0.8,0.816,0.791,22.00M
2017-04-06,0.805,0.8,0.808,0.787,28.01M
2017-04-05,0.803,0.812,0.82,0.802,33.31M
2017-04-04,0.805,0.82,0.827,0.783,76.42M
2017-04-03,0.815,0.896,0.898,0.807,107.45M
2017-03-31,0.91,0.913,0.92,0.903,29.12M
2017-03-30,0.92,0.92,0.925,0.907,23.46M
2017-03-29,0.92,0.931,0.938,0.911,23.75M
2017-03-28,0.925,0.917,0.932,0.907,31.75M
2017-03-27,0.896,0.9,0.905,0.89,22.60M
2017-03-24,0.906,0.92,0.92,0.906,23.82M
2017-03-23,0.915,0.921,0.924,0.908,19.62M
2017-03-22,0.916,0.916,0.93,0.906,35.00M
2017-03-21,0.923,0.938,0.944,0.92,40.23M
2017-03-20,0.93,0.935,0.943,0.928,25.54M
2017-03-17,0.935,0.917,0.937,0.917,50.46M
2017-03-16,0.922,0.941,0.944,0.917,62.92M
2017-03-15,0.93,0.909,0.938,0.909,30.62M
2017-03-14,0.911,0.932,0.94,0.906,32.23M
2017-03-13,0.932,0.945,0.954,0.932,34.00M
2017-03-10,0.944,0.902,0.944,0.901,69.51M
2017-03-09,0.897,0.869,0.91,0.868,53.16M
2017-03-08,0.875,0.858,0.877,0.857,29.60M
2017-03-07,0.863,0.864,0.869,0.857,20.71M
2017-03-06,0.859,0.855,0.893,0.855,47.50M
2017-03-03,0.861,0.858,0.871,0.848,44.48M
2017-03-02,0.863,0.859,0.872,0.855,47.94M
2017-03-01,0.853,0.84,0.866,0.838,55.26M
2017-02-28,0.837,0.82,0.837,0.808,40.19M
2017-02-27,0.812,0.808,0.817,0.794,31.39M
2017-02-24,0.796,0.803,0.809,0.786,41.38M
2017-02-23,0.807,0.82,0.821,0.8,37.04M
2017-02-22,0.819,0.83,0.838,0.806,46.47M
2017-02-21,0.831,0.842,0.847,0.831,32.74M
2017-02-20,0.839,0.87,0.872,0.838,49.10M
2017-02-17,0.844,0.841,0.849,0.823,37.84M
2017-02-16,0.837,0.847,0.852,0.833,33.76M
2017-02-15,0.85,0.848,0.854,0.844,22.97M
2017-02-14,0.844,0.857,0.858,0.835,34.82M
2017-02-13,0.857,0.857,0.859,0.842,20.08M
2017-02-10,0.85,0.864,0.872,0.845,29.35M
2017-02-09,0.862,0.85,0.868,0.837,36.90M
2017-02-08,0.839,0.857,0.858,0.83,38.40M
2017-02-07,0.845,0.838,0.864,0.828,43.68M
2017-02-06,0.849,0.87,0.884,0.846,81.04M
2017-02-03,0.872,0.891,0.904,0.857,209.53M
2017-02-02,0.942,0.945,0.955,0.933,37.17M
2017-02-01,0.945,0.962,0.971,0.926,58.59M
2017-01-31,0.956,0.964,0.99,0.956,41.60M
2017-01-30,0.962,0.983,0.989,0.958,38.29M
2017-01-27,0.987,1.0,1.0,0.966,38.23M
2017-01-26,0.998,1.01,1.021,0.991,43.14M
2017-01-25,1.007,0.984,1.017,0.982,60.23M
2017-01-24,0.975,0.974,0.981,0.954,29.38M
2017-01-23,0.968,0.978,0.985,0.96,31.85M
2017-01-20,0.989,0.997,1.007,0.983,49.67M
2017-01-19,0.999,0.978,1.012,0.968,69.73M
2017-01-18,0.976,0.985,0.985,0.953,48.38M
2017-01-17,0.978,0.935,0.985,0.917,84.50M
2017-01-16,0.917,0.927,0.927,0.903,40.22M
2017-01-13,0.939,0.948,0.948,0.927,32.93M
2017-01-12,0.937,0.935,0.954,0.921,50.68M
2017-01-11,0.93,0.965,0.972,0.927,58.28M
2017-01-10,0.973,1.0,1.0,0.965,49.03M
2017-01-09,1.0,0.999,1.014,0.989,44.88M
2017-01-06,1.01,1.0,1.01,0.97,31.22M
2017-01-05,0.994,0.984,1.003,0.978,37.28M
2017-01-04,0.984,0.98,0.988,0.97,29.16M
2017-01-03,0.974,0.958,0.99,0.951,52.05M
2017-01-02,0.948,0.932,0.948,0.919,26.94M
2016-12-30,0.918,0.918,0.919,0.905,30.42M
2016-12-29,0.915,0.911,0.918,0.902,22.83M
2016-12-28,0.92,0.942,0.942,0.911,31.77M
2016-12-27,0.934,0.91,0.946,0.91,26.36M
2016-12-23,0.911,0.95,0.957,0.907,45.61M
2016-12-22,0.942,0.964,0.965,0.94,35.10M
2016-12-21,0.954,1.013,1.02,0.906,84.42M
2016-12-20,1.013,1.018,1.021,1.01,43.97M
2016-12-19,1.016,1.02,1.033,1.009,48.00M
2016-12-16,1.01,1.02,1.027,0.996,55.05M
2016-12-15,1.014,1.017,1.038,1.003,40.94M
2016-12-14,1.012,1.01,1.032,1.002,33.91M
2016-12-13,1.011,1.004,1.018,0.97,46.30M
2016-12-12,1.013,1.008,1.035,1.005,41.46M
2016-12-09,1.002,1.042,1.044,0.989,60.12M
2016-12-08,1.042,0.999,1.063,0.994,72.69M
2016-12-07,0.991,0.969,0.994,0.96,52.35M
2016-12-06,0.953,0.925,0.959,0.91,40.56M
2016-12-05,0.92,0.885,0.94,0.87,57.28M
2016-12-02,0.897,0.941,0.947,0.885,57.94M
2016-12-01,0.94,0.851,0.947,0.842,155.19M
2016-11-30,0.827,0.793,0.839,0.781,83.68M
2016-11-29,0.787,0.771,0.795,0.77,45.68M
2016-11-28,0.771,0.825,0.836,0.766,90.41M
2016-11-25,0.836,0.846,0.859,0.831,37.85M
2016-11-24,0.844,0.871,0.873,0.841,52.81M
2016-11-23,0.873,0.921,0.936,0.868,77.78M
2016-11-22,0.902,0.863,0.91,0.849,62.09M
2016-11-21,0.851,0.86,0.869,0.841,36.31M
2016-11-18,0.859,0.86,0.872,0.824,51.27M
2016-11-17,0.855,0.881,0.886,0.852,65.53M
2016-11-16,0.895,0.918,0.926,0.887,40.95M
2016-11-15,0.916,0.945,0.953,0.904,48.29M
2016-11-14,0.943,0.968,0.98,0.925,46.10M
2016-11-11,0.956,0.971,0.985,0.928,36.58M
2016-11-10,0.958,0.968,1.03,0.952,96.22M
2016-11-09,0.958,0.865,0.965,0.861,74.34M
2016-11-08,0.919,0.921,0.939,0.886,58.39M
2016-11-07,0.931,0.952,0.958,0.921,31.98M
2016-11-04,0.929,0.926,0.93,0.905,46.58M
2016-11-03,0.933,0.932,0.956,0.923,44.46M
2016-11-02,0.935,0.967,0.968,0.929,50.32M
2016-11-01,0.972,0.998,1.0,0.972,39.68M
2016-10-31,0.999,1.015,1.019,0.98,64.87M
2016-10-28,1.011,1.1,1.103,1.002,117.37M
2016-10-27,1.104,1.081,1.104,1.078,30.01M
2016-10-26,1.085,1.1,1.118,1.068,35.27M
2016-10-25,1.11,1.133,1.145,1.101,32.65M
2016-10-24,1.137,1.09,1.142,1.088,50.44M
2016-10-21,1.091,1.075,1.098,1.072,40.68M
2016-10-20,1.07,1.073,1.078,1.056,38.29M
