Date,Close,Open,High,Low,Volume
2026-02-06,26.49,26.47,26.51,26.37,
2026-02-05,26.4,26.41,26.52,26.24,
2026-02-04,26.68,26.56,26.81,26.56,
2026-02-03,26.46,26.34,26.55,26.3,
2026-02-02,26.42,26.56,26.68,26.39,
2026-01-30,26.47,26.41,26.57,26.37,
2026-01-29,26.25,26.17,26.47,26.17,
2026-01-28,26.26,26.19,26.28,26.08,
2026-01-27,26.12,25.88,26.15,25.84,
2026-01-26,26.05,26.07,26.19,25.97,
2026-01-23,25.82,25.81,25.95,25.76,
2026-01-22,25.98,26.02,26.38,25.78,
2026-01-21,25.8,25.62,25.92,25.62,
2026-01-20,25.67,25.73,25.86,25.54,
2026-01-19,25.59,25.64,25.78,25.59,
2026-01-16,25.68,25.92,25.92,25.6,
2026-01-15,26.01,25.9,26.08,25.81,
2026-01-14,25.83,25.63,25.83,25.56,
2026-01-13,25.31,25.38,25.4,25.11,
2026-01-12,25.42,25.54,25.58,25.35,
2026-01-09,25.61,25.63,25.68,25.51,
2026-01-08,25.66,25.43,25.74,25.32,
2026-01-07,25.31,25.56,25.77,25.28,
2026-01-06,25.6,25.49,25.77,25.31,
2026-01-05,25.52,25.82,25.82,25.27,
2026-01-02,25.87,25.86,26.04,25.83,
2025-12-31,25.89,25.79,25.95,25.79,
2025-12-30,25.8,25.54,25.84,25.54,
2025-12-29,25.62,25.3,25.65,25.24,
2025-12-24,25.35,25.31,25.45,25.3,
2025-12-23,25.33,25.15,25.35,25.06,
2025-12-22,24.99,24.73,25.01,24.7,
2025-12-19,24.98,25.23,25.33,24.86,
2025-12-18,25.15,24.78,25.17,24.78,
2025-12-17,24.75,24.56,24.8,24.55,
2025-12-16,24.54,24.64,24.68,24.49,
2025-12-15,24.6,24.59,24.65,24.55,
2025-12-12,24.5,24.46,24.63,24.43,
2025-12-11,24.48,24.74,24.85,24.42,
2025-12-10,26.1,26.18,26.24,26.08,
2025-12-09,26.2,26.44,26.46,26.07,
2025-12-08,26.42,26.81,26.97,26.39,
2025-12-05,26.79,27.09,27.09,26.72,
2025-12-04,27.27,27.16,27.3,27.07,
2025-12-03,27.14,27.02,27.39,26.97,
2025-12-02,26.91,26.54,26.93,26.48,
2025-12-01,26.51,26.49,26.53,26.35,
2025-11-28,26.44,26.64,26.69,26.35,
2025-11-27,26.66,26.78,26.88,26.59,
2025-11-26,26.82,26.34,26.83,26.34,
2025-11-25,26.47,26.33,26.47,26.21,
2025-11-24,26.46,26.43,26.59,26.35,
2025-11-21,26.49,27.08,27.08,26.49,
2025-11-20,27.0,26.97,27.09,26.77,
2025-11-19,26.92,27.22,27.34,26.91,
2025-11-18,27.21,27.46,27.48,27.17,
2025-11-17,27.52,27.62,27.66,27.43,
2025-11-14,27.49,27.23,27.49,27.15,
2025-11-13,27.07,26.83,27.35,26.79,
2025-11-12,26.76,26.64,26.8,26.4,
2025-11-11,26.61,26.83,26.87,26.59,
2025-11-10,26.93,27.46,27.54,26.89,
2025-11-07,27.29,27.23,27.4,27.13,
2025-11-06,27.05,27.0,27.21,26.87,
2025-11-05,26.81,26.9,27.02,26.73,
2025-11-04,26.57,26.08,26.59,26.08,
2025-11-03,26.13,25.83,26.25,25.79,
2025-10-31,26.26,26.36,26.43,26.1,
2025-10-30,26.54,26.49,26.63,26.33,
2025-10-29,26.62,26.79,26.99,26.48,
2025-10-28,26.8,26.64,26.89,26.56,
2025-10-27,26.61,26.49,26.63,26.45,
2025-10-24,26.49,26.36,26.5,26.28,
2025-10-23,26.47,26.48,26.53,26.37,
2025-10-22,26.49,26.68,26.77,26.47,
2025-10-21,26.58,26.72,26.79,26.58,
2025-10-20,26.74,26.669,26.89,26.669,
2025-10-17,26.65,26.41,26.66,26.35,
2025-10-16,26.43,26.38,26.45,26.28,
2025-10-15,26.37,26.35,26.45,26.27,
2025-10-14,26.38,26.42,26.53,26.36,
2025-10-13,26.28,26.24,26.33,26.11,
2025-10-10,26.19,26.04,26.35,26.02,
2025-10-09,25.95,25.96,26.02,25.89,
2025-10-08,25.97,25.98,26.01,25.86,
2025-10-07,25.91,25.98,26.33,25.87,
2025-10-06,26.99,26.73,27.08,26.69,
2025-10-03,26.75,26.46,26.76,26.45,
2025-10-02,26.38,26.27,26.4,26.21,
2025-10-01,26.41,26.52,26.6,26.26,
2025-09-30,26.56,26.49,26.57,26.28,
2025-09-29,26.67,26.84,26.87,26.46,
2025-09-26,26.83,26.78,26.89,26.69,
2025-09-25,26.84,26.42,26.9,26.42,
2025-09-24,26.45,26.32,26.47,26.17,
2025-09-23,26.07,26.14,26.17,26.02,
2025-09-22,26.09,25.87,26.14,25.84,
2025-09-19,25.82,25.72,25.84,25.63,
2025-09-18,25.59,25.55,25.67,25.48,
2025-09-17,25.58,25.7,25.77,25.51,
2025-09-16,25.78,26.32,26.32,25.78,
2025-09-15,26.43,26.48,26.62,26.37,
2025-09-12,26.48,26.28,26.5,26.26,
2025-09-11,26.28,26.18,26.35,26.09,
2025-09-10,26.07,26.17,26.17,25.81,
2025-09-09,26.21,26.36,26.37,26.1,
2025-09-08,26.35,26.52,26.52,26.31,
2025-09-05,26.49,26.28,26.57,26.24,
2025-09-04,26.34,26.42,26.45,26.17,
2025-09-03,26.51,26.7,26.71,26.39,
2025-09-02,26.74,26.73,26.81,26.54,
2025-09-01,26.71,27.15,27.17,26.71,
2025-08-29,27.22,27.2,27.41,27.1,
2025-08-28,27.1,27.31,27.32,27.05,
2025-08-27,27.34,27.54,27.54,27.27,
2025-08-26,27.46,27.22,27.65,27.21,
2025-08-25,27.25,27.24,27.29,27.11,
2025-08-22,27.3,27.35,27.45,27.26,
2025-08-21,27.34,27.27,27.37,27.2,
2025-08-20,27.27,27.18,27.34,27.1,
2025-08-19,27.07,26.95,27.15,26.94,
2025-08-18,27.01,27.2,27.34,26.98,
2025-08-15,27.03,26.94,27.07,26.87,
2025-08-14,26.96,26.92,27.05,26.83,
2025-08-13,26.86,26.78,27.0,26.78,
2025-08-12,26.69,26.5,26.79,26.42,
2025-08-11,26.43,26.22,26.45,26.18,
2025-08-08,26.28,26.61,26.63,26.25,
2025-08-07,26.56,26.4,26.79,26.33,
2025-08-06,26.46,25.9,26.47,25.86,
2025-08-05,25.89,25.87,26.17,25.67,
2025-08-04,27.81,27.32,27.83,27.27,
2025-08-01,27.31,27.22,27.51,27.22,
2025-07-31,27.29,27.14,27.35,27.08,
2025-07-30,27.09,26.73,27.11,26.71,
2025-07-29,26.73,26.55,26.8,26.49,
2025-07-28,26.66,26.88,27.07,26.65,
2025-07-25,27.47,27.38,27.55,27.14,
2025-07-24,27.48,27.46,27.75,27.06,
2025-07-23,27.24,26.95,27.81,26.78,
2025-07-22,27.62,27.25,27.66,27.22,
2025-07-21,27.28,27.14,27.3,27.1,
2025-07-18,27.09,27.03,27.11,26.98,
2025-07-17,27.02,27.06,27.09,26.93,
2025-07-16,27.01,27.05,27.09,26.99,
2025-07-15,27.01,27.18,27.24,26.99,
2025-07-14,27.2,27.05,27.2,26.97,
2025-07-11,27.06,27.11,27.19,26.93,
