Date,Close,High,Low,Open,Volume,Company,Ticker
2010-06-01,3.485877275466919,8.094267845153809,7.758007049560547,8.094267845153809,45866307,BBVA,BBVA.MC
2010-06-02,3.441878080368042,8.002997398376465,7.773378849029541,8.002997398376465,34302684,BBVA,BBVA.MC
2010-06-03,3.4290106296539307,8.247026443481445,7.892510890960693,7.966488838195801,36865027,BBVA,BBVA.MC
2010-06-04,3.1944875717163086,7.936706066131592,7.301653861999512,7.936706066131592,74045507,BBVA,BBVA.MC
2010-06-07,3.1305651664733887,7.493803024291992,7.085486888885498,7.393885135650635,45624207,BBVA,BBVA.MC
2010-06-08,3.074113607406616,7.313182830810547,6.9894118309021,7.245931148529053,43864055,BBVA,BBVA.MC
2010-06-09,3.1695828437805176,7.336240768432617,7.030724048614502,7.115270137786865,48208895,BBVA,BBVA.MC
2010-06-10,3.331050634384156,7.777222156524658,7.1575422286987305,7.336240768432617,48924233,BBVA,BBVA.MC
2010-06-11,3.5157625675201416,8.251830101013184,7.858884811401367,7.858884811401367,92485207,BBVA,BBVA.MC
2010-06-14,3.553121328353882,8.299866676330566,8.079856872558594,8.137500762939453,75640920,BBVA,BBVA.MC
2010-06-15,3.626176357269287,8.393058776855469,7.979938983917236,8.09907054901123,85008742,BBVA,BBVA.MC
2010-06-16,3.63240122795105,8.526602745056152,8.247986793518066,8.393058776855469,50553088,BBVA,BBVA.MC
2010-06-17,3.6793062686920166,8.675518035888672,8.3594331741333,8.407469749450684,80106875,BBVA,BBVA.MC
2010-06-18,3.885188341140747,9.106891632080078,8.588089942932129,8.588089942932129,267962695,BBVA,BBVA.MC
2010-06-21,3.9059433937072754,9.261571884155272,8.97815227508545,8.992563247680664,105759414,BBVA,BBVA.MC
2010-06-22,3.8382837772369385,8.98487663269043,8.742770195007324,8.98487663269043,44448456,BBVA,BBVA.MC
2010-06-23,3.787229537963867,8.95893669128418,8.694732666015625,8.88399887084961,39269239,BBVA,BBVA.MC
2010-06-24,3.640288591384888,8.85805892944336,8.396902084350586,8.765828132629395,33713458,BBVA,BBVA.MC
2010-06-25,3.659797191619873,8.627481460571289,8.31043529510498,8.425724029541016,29872830,BBVA,BBVA.MC
2010-06-28,3.7365880012512207,8.672636032104492,8.396902084350586,8.470878601074219,22675883,BBVA,BBVA.MC
2010-06-29,3.4659533500671387,8.460310935974121,8.022212028503418,8.460310935974121,59302607,BBVA,BBVA.MC
2010-06-30,3.574704885482788,8.401705741882324,7.954959869384766,8.022212028503418,157137730,BBVA,BBVA.MC
2010-07-01,3.5331976413726807,8.377687454223633,7.931901931762695,8.051033973693848,327471143,BBVA,BBVA.MC
2010-07-02,3.536517381668091,8.425724029541016,8.16728401184082,8.177851676940918,203563239,BBVA,BBVA.MC
2010-07-05,3.5199148654937744,8.24222183227539,8.084659576416016,8.185538291931152,174073692,BBVA,BBVA.MC
2010-07-06,3.656892061233521,8.569835662841797,8.195145606994629,8.195145606994629,90398424,BBVA,BBVA.MC
