Company,Ticker,Ex-Date,Event Type,Value/Ratio
ACS,ACS.MC,2010-01-12,Dividend/Bonus Issue,0.9
ACS,ACS.MC,2010-07-02,Dividend/Bonus Issue,1.15
ACS,ACS.MC,2011-02-08,Dividend/Bonus Issue,0.9
ACS,ACS.MC,2011-07-05,Dividend/Bonus Issue,1.15
ACS,ACS.MC,2012-02-07,Dividend/Bonus Issue,0.9
ACS,ACS.MC,2012-07-12,Dividend/Bonus Issue,1.068
ACS,ACS.MC,2013-07-04,Dividend/Bonus Issue,1.112
ACS,ACS.MC,2014-01-30,Dividend/Bonus Issue,0.446
ACS,ACS.MC,2014-07-03,Dividend/Bonus Issue,0.707
ACS,ACS.MC,2015-01-29,Dividend/Bonus Issue,0.45
ACS,ACS.MC,2015-07-02,Dividend/Bonus Issue,0.703
ACS,ACS.MC,2016-01-15,Dividend/Bonus Issue,0.444
ACS,ACS.MC,2016-06-27,Dividend/Bonus Issue,0.707
ACS,ACS.MC,2017-01-20,Dividend/Bonus Issue,0.445
ACS,ACS.MC,2017-06-27,Dividend/Bonus Issue,0.751
ACS,ACS.MC,2018-01-22,Dividend/Bonus Issue,0.449
ACS,ACS.MC,2018-06-22,Dividend/Bonus Issue,0.936
ACS,ACS.MC,2019-01-22,Dividend/Bonus Issue,0.45
ACS,ACS.MC,2019-06-24,Dividend/Bonus Issue,1.45
ACS,ACS.MC,2020-02-18,Dividend/Bonus Issue,0.449
ACS,ACS.MC,2020-06-23,Dividend/Bonus Issue,1.38
ACS,ACS.MC,2020-07-02,Dividend/Bonus Issue,0.16
ACS,ACS.MC,2021-01-22,Dividend/Bonus Issue,0.452
ACS,ACS.MC,2021-06-22,Dividend/Bonus Issue,1.27
ACS,ACS.MC,2022-01-14,Dividend/Bonus Issue,0.468
ACS,ACS.MC,2022-07-01,Dividend/Bonus Issue,1.484
ACS,ACS.MC,2022-08-02,Dividend/Bonus Issue,0.05
ACS,ACS.MC,2023-01-20,Dividend/Bonus Issue,0.48
ACS,ACS.MC,2023-07-04,Dividend/Bonus Issue,1.482
ACS,ACS.MC,2024-01-19,Stock Split,1.0116279069767442
ACS,ACS.MC,2024-07-02,Dividend/Bonus Issue,1.555
ACS,ACS.MC,2025-01-21,Dividend/Bonus Issue,0.454
ACS,ACS.MC,2025-07-01,Dividend/Bonus Issue,1.557
ACS,ACS.MC,2026-01-21,Dividend/Bonus Issue,0.457
Acciona,ANA.MC,2010-07-01,Dividend/Bonus Issue,1.94
Acciona,ANA.MC,2011-01-21,Dividend/Bonus Issue,1.07
Acciona,ANA.MC,2011-07-25,Dividend/Bonus Issue,2.03
Acciona,ANA.MC,2012-01-20,Dividend/Bonus Issue,1.026
Acciona,ANA.MC,2012-06-04,Dividend/Bonus Issue,1.974
Acciona,ANA.MC,2013-01-21,Dividend/Bonus Issue,0.9
Acciona,ANA.MC,2013-07-01,Dividend/Bonus Issue,1.75
Acciona,ANA.MC,2015-07-02,Dividend/Bonus Issue,2.0
Acciona,ANA.MC,2016-06-28,Dividend/Bonus Issue,2.5
Acciona,ANA.MC,2017-06-29,Dividend/Bonus Issue,2.875
Acciona,ANA.MC,2018-06-28,Dividend/Bonus Issue,3.0
Acciona,ANA.MC,2019-06-27,Dividend/Bonus Issue,3.52256
Acciona,ANA.MC,2020-06-30,Dividend/Bonus Issue,1.936536
Acciona,ANA.MC,2021-07-05,Dividend/Bonus Issue,3.914966
Acciona,ANA.MC,2022-07-05,Dividend/Bonus Issue,4.112648
Acciona,ANA.MC,2023-07-04,Dividend/Bonus Issue,4.509876
Acciona,ANA.MC,2024-07-02,Dividend/Bonus Issue,4.8884
Acciona,ANA.MC,2025-07-08,Dividend/Bonus Issue,5.284045
ArcelorMittal,MTS.MC,2010-02-19,Dividend/Bonus Issue,0.32292584
ArcelorMittal,MTS.MC,2010-05-21,Dividend/Bonus Issue,0.32292584
ArcelorMittal,MTS.MC,2010-08-20,Dividend/Bonus Issue,0.32292584
ArcelorMittal,MTS.MC,2010-11-19,Dividend/Bonus Issue,0.32292584
ArcelorMittal,MTS.MC,2011-02-18,Dividend/Bonus Issue,0.32292584
ArcelorMittal,MTS.MC,2011-05-20,Dividend/Bonus Issue,0.32292584
ArcelorMittal,MTS.MC,2011-08-19,Dividend/Bonus Issue,0.32292584
ArcelorMittal,MTS.MC,2011-11-18,Dividend/Bonus Issue,0.32292584
ArcelorMittal,MTS.MC,2012-02-17,Dividend/Bonus Issue,0.32292584
ArcelorMittal,MTS.MC,2012-06-14,Dividend/Bonus Issue,0.298959
ArcelorMittal,MTS.MC,2013-05-10,Dividend/Bonus Issue,0.34445396
ArcelorMittal,MTS.MC,2014-05-12,Dividend/Bonus Issue,0.34445396
ArcelorMittal,MTS.MC,2015-05-08,Dividend/Bonus Issue,0.34445396
ArcelorMittal,MTS.MC,2017-05-18,Stock Split,0.3333333333333333
ArcelorMittal,MTS.MC,2018-05-17,Dividend/Bonus Issue,0.084153
ArcelorMittal,MTS.MC,2019-05-16,Dividend/Bonus Issue,0.1692
ArcelorMittal,MTS.MC,2021-06-10,Dividend/Bonus Issue,0.245881
ArcelorMittal,MTS.MC,2022-05-13,Dividend/Bonus Issue,0.32148
ArcelorMittal,MTS.MC,2023-05-22,Dividend/Bonus Issue,0.18612
ArcelorMittal,MTS.MC,2023-11-13,Dividend/Bonus Issue,0.18612
ArcelorMittal,MTS.MC,2024-05-16,Dividend/Bonus Issue,0.2115
ArcelorMittal,MTS.MC,2024-11-11,Dividend/Bonus Issue,0.2115
ArcelorMittal,MTS.MC,2025-05-15,Dividend/Bonus Issue,0.23265001
ArcelorMittal,MTS.MC,2025-11-12,Dividend/Bonus Issue,0.23265001
BBVA,BBVA.MC,2010-04-12,Dividend/Bonus Issue,0.144112
BBVA,BBVA.MC,2010-07-12,Dividend/Bonus Issue,0.086467
BBVA,BBVA.MC,2010-10-11,Dividend/Bonus Issue,0.086467
BBVA,BBVA.MC,2011-01-10,Dividend/Bonus Issue,0.09
BBVA,BBVA.MC,2011-04-01,Dividend/Bonus Issue,0.15
BBVA,BBVA.MC,2011-07-08,Dividend/Bonus Issue,0.1
BBVA,BBVA.MC,2011-09-30,Dividend/Bonus Issue,0.1
BBVA,BBVA.MC,2012-01-10,Dividend/Bonus Issue,0.1
BBVA,BBVA.MC,2012-04-16,Dividend/Bonus Issue,0.118
BBVA,BBVA.MC,2012-07-10,Dividend/Bonus Issue,0.1
BBVA,BBVA.MC,2012-10-01,Dividend/Bonus Issue,0.099
BBVA,BBVA.MC,2013-01-10,Dividend/Bonus Issue,0.1
BBVA,BBVA.MC,2013-04-08,Dividend/Bonus Issue,0.121
BBVA,BBVA.MC,2013-07-10,Dividend/Bonus Issue,0.1
BBVA,BBVA.MC,2013-09-30,Dividend/Bonus Issue,0.099
BBVA,BBVA.MC,2014-03-31,Dividend/Bonus Issue,0.168
BBVA,BBVA.MC,2014-07-10,Dividend/Bonus Issue,0.08
BBVA,BBVA.MC,2014-09-29,Dividend/Bonus Issue,0.08
BBVA,BBVA.MC,2014-12-22,Dividend/Bonus Issue,0.08
BBVA,BBVA.MC,2015-03-30,Dividend/Bonus Issue,0.13
BBVA,BBVA.MC,2015-07-16,Dividend/Bonus Issue,0.08
BBVA,BBVA.MC,2015-10-05,Dividend/Bonus Issue,0.08
