Ticker,M1Unconstrained,M1Cardinality,M2Unconstrained,M2Cardinality,M3Unconstrained,M3Cardinality
Bankinter,0.0,0.0,0.0,0.0,0.00144601315964144,0.0
Inditex,0.13383379245271923,0.13439241649323258,0.24189468924943308,0.3641823424331386,0.1858521769533253,0.18501597074188
Naturgy,1.3850557474603872e-18,0.0,0.0,0.0,1.630280106896552e-17,0.0
Telefónica,0.0,0.0,0.0,0.0,0.0,0.0
Banco Sabadell,1.0939587392488895e-17,0.0,0.0,0.0,7.449833843673199e-18,0.0
Grifols,0.2048503335255467,0.2056845130248491,0.3276120643021472,0.26798997688524134,0.2233243693707459,0.22215428372921436
Banco Santander,0.0,0.0,0.0,0.0,0.0,0.0
Ferrovial,0.09604526209954083,0.0951001258994743,0.0,0.0,0.09105187538214651,0.09501622922036143
Enagás,0.18310418777092244,0.18452265171208876,0.0,0.0,0.15136665057703105,0.1500304482520558
ArcelorMittal,0.0,0.0,0.0,0.0,0.0,0.0
Mapfre,1.0571735065469387e-17,0.0,0.0,0.0045199311515653024,2.4239245720136412e-18,0.0
Acciona,0.0,0.0,0.0,0.0,4.329143326578732e-18,0.0
Red Eléctrica de España,0.2455679016811697,0.24486527998444857,0.3769932796218439,0.3633077495300547,0.2502001761245646,0.25102580804120467
International Airlines Group,2.137221004622206e-18,0.0,0.0,0.0,4.088585969558511e-18,0.0
BBVA,0.0,0.0,0.0,0.0,6.816032059717358e-18,0.0
ACS,3.2370269697252238e-18,0.0,0.0,0.0,7.669841270549692e-18,0.0
Repsol,0.0,0.0,0.0,0.0,1.6601845766184287e-18,0.0
Indra Sistemas,0.04582391186808777,0.04578508365298983,0.05349996682657394,0.0,0.026632497114050028,0.02635577218841244
Iberdrola,0.09077461060201335,0.08964992923291691,0.0,0.0,0.07012624131849524,0.07040148782687125
